Video Name,Width,Height,Video Length,Frames per Second,Frame Count,Original Bitrate,Original Size,Scene Count,Avg Motion %,Avg PCC,Compression Preset,Compression Duration,Compressed Bitrate,Compressed Size, Average PSNR, Average SSIM, Average VIFp
C:\Video Compression\Files\Input\racing2-Ralph.Breaks.the.Internet.2018.1080p.BluRay.x264-SPARKS.avi,1920,808,60192,30.000,1443,14816570,112868302,0,0,0,superfast,35.79,1857692,14245199,12.154065599030448,0.5713682534626031,0.056788835180055355
C:\Video Compression\Files\Input\racing2-Ralph.Breaks.the.Internet.2018.1080p.BluRay.x264-SPARKS.avi,1920,808,60192,30.000,1443,14816570,112868302,0,0,0,veryfast,42.54,1785168,13689062,12.154367702216065,0.5733498268698074,0.05723777631578958
C:\Video Compression\Files\Input\racing2-Ralph.Breaks.the.Internet.2018.1080p.BluRay.x264-SPARKS.avi,1920,808,60192,30.000,1443,14816570,112868302,0,0,0,faster,42.52,1782055,13665195,12.154290664819955,0.5733577915512482,0.057238101800554136
C:\Video Compression\Files\Input\racing2-Ralph.Breaks.the.Internet.2018.1080p.BluRay.x264-SPARKS.avi,1920,808,60192,30.000,1443,14816570,112868302,0,0,0,fast,50.53,1806787,13854841,12.154631310941848,0.5731286163434902,0.057326477146814346
C:\Video Compression\Files\Input\racing2-Ralph.Breaks.the.Internet.2018.1080p.BluRay.x264-SPARKS.avi,1920,808,60192,30.000,1443,14816570,112868302,0,0,0,medium,65.30,1822561,13975800,12.158430467451549,0.5731492056786699,0.057604581717451454
C:\Video Compression\Files\Input\racing2-Ralph.Breaks.the.Internet.2018.1080p.BluRay.x264-SPARKS.avi,1920,808,60192,30.000,1443,14816570,112868302,0,0,0,slow,158.95,1821636,13968714,12.158748662049867,0.5721867403047081,0.05782010110803331
C:\Video Compression\Files\Input\racing2-Ralph.Breaks.the.Internet.2018.1080p.BluRay.x264-SPARKS.avi,1920,808,60192,30.000,1443,14816570,112868302,0,0,0,slower,351.54,1743951,13372999,12.160453216758999,0.5724858857340712,0.05790897229916895
C:\Video Compression\Files\Input\random-Ralph.Breaks.the.Internet.2018.1080p.BluRay.x264-SPARKS.avi,1920,808,300984,30.000,7216,10000609,383902692,39,35.879 %,80 %,superfast,125.81,971841,37303966,12.678412636136908,0.5819273505611746,0.049519331023971117
C:\Video Compression\Files\Input\random-Ralph.Breaks.the.Internet.2018.1080p.BluRay.x264-SPARKS.avi,1920,808,300984,30.000,7216,10000609,383902692,39,35.879 %,80 %,veryfast,152.79,930940,35734013,12.679633245115715,0.5843302250242491,0.05013677109602346
C:\Video Compression\Files\Input\random-Ralph.Breaks.the.Internet.2018.1080p.BluRay.x264-SPARKS.avi,1920,808,300984,30.000,7216,10000609,383902692,39,35.879 %,80 %,faster,152.81,929547,35680534,12.679486533739757,0.584335466260219,0.05017285631148704
C:\Video Compression\Files\Input\random-Ralph.Breaks.the.Internet.2018.1080p.BluRay.x264-SPARKS.avi,1920,808,300984,30.000,7216,10000609,383902692,39,35.879 %,80 %,fast,191.45,953411,36596528,12.67853110849387,0.5839778869336298,0.05020774338367752
C:\Video Compression\Files\Input\random-Ralph.Breaks.the.Internet.2018.1080p.BluRay.x264-SPARKS.avi,1920,808,300984,30.000,7216,10000609,383902692,39,35.879 %,80 %,medium,250.56,958649,36797596,12.678705407648604,0.5837951962034084,0.05031565595122623
C:\Video Compression\Files\Input\random-Ralph.Breaks.the.Internet.2018.1080p.BluRay.x264-SPARKS.avi,1920,808,300984,30.000,7216,10000609,383902692,39,35.879 %,80 %,slow,553.90,955866,36690795,12.677303395870874,0.5833556221421651,0.05047408867950667
C:\Video Compression\Files\Input\random-Ralph.Breaks.the.Internet.2018.1080p.BluRay.x264-SPARKS.avi,1920,808,300984,30.000,7216,10000609,383902692,39,35.879 %,80 %,slower,1271.82,908038,34854908,12.67729020077594,0.5832962110295162,0.05036910004156864
C:\Video Compression\Files\Input\random2-Ralph.Breaks.the.Internet.2018.1080p.BluRay.x264-SPARKS.avi,1920,808,301008,30.000,7217,6786734,263049782,35,33.839 %,70 %,superfast,91.82,659944,25335302,13.350140841784393,0.6011426320310342,0.04373699570518151
C:\Video Compression\Files\Input\random2-Ralph.Breaks.the.Internet.2018.1080p.BluRay.x264-SPARKS.avi,1920,808,301008,30.000,7217,6786734,263049782,35,33.839 %,70 %,veryfast,114.95,637535,24475054,13.35261945497367,0.6040161016902197,0.04430350471044617
C:\Video Compression\Files\Input\random2-Ralph.Breaks.the.Internet.2018.1080p.BluRay.x264-SPARKS.avi,1920,808,301008,30.000,7217,6786734,263049782,35,33.839 %,70 %,faster,115.19,636777,24445905,13.352680856747046,0.6040177754225534,0.04431834039900271
